"","SYMBOL","ENTREZID"
"920","STRADA","92335"
"921","SH2D4B","387694"
"922","LINC02114","101929153"
"923","LINC02063","105374627"
"924","MPZL1","9019"
"925","RN7SL278P","106479324"
"926","RCN2","5955"
"927","LINC01843","101927934"
"928","RNU6-456P","106481323"
"929","PRKAA1","5562"
"930","LINC01036","104169671"
"931","ISCA1P1","389293"
"932","HTR1A","3350"
"933","DOCK3","1795"
"934","MIR4432HG","106660609"
"935","HMCN1","83872"
"936","SPTLC1P2","100874498"
"937","RNU6-1060P","106480032"
"938","MS4A3","932"
"939","BLOC1S4","55330"
"940","KIAA0232","9778"
"941","PID1","55022"
"942","SOD1P2","100652974"
"943","SALL1","6299"
"944","MIR302F","100302131"
"945","RNU6-408P","106479746"
"946","PIFO",NA
"947","ZBTB25","7597"
"948","ZNRF4","148066"
"949","PTPRS","5802"
"950","SCAPER","49855"
"951","EPHA5","2044"
"952","MTND2P9","100884155"
"953","LINC01288","103689844"
"954","RPL10AP3","137107"
"955","LINC00971","440970"
"956","SRRM1P2","100420834"
"957","MDFIC","29969"
"958","FOXP2","93986"
"959","MAPRE1P2","642305"
"960","RPL31P31","727792"
"961","UGT1A8","54576"
"962","UGT1A10","54575"
"963","LINC00626","79100"
"964","SUMO1P2","474337"
"965","RELN","5649"
"966","LINC02815","105373158"
"967","HMG20A","10363"
"968","VIPR2","7434"
"969","CTD-2194D22.4","101929081"
"970","FGFR3","2261"
"971","TACC3","10460"
"972","FAM163A","148753"
"973","LCORL","254251"
"974","R3HDM2P2","100129694"
"975","GRIK2","2898"
"976","GALNT10","55568"
"977","CABLES1","91768"
"978","SHISA6","388336"
"979","CACNA2D3","55799"
"980","FTH1P5","2509"
"981","PKHD1","5314"
"982","PKMP4","106480443"
"983","BLTP3A","54887"
"984","LINC01231","101929247"
"985","CARM1P1","100130873"
"986","VAC14","55697"
"987","SLMAP","7871"
"988","FCER1G","2207"
"989","LMOD3","56203"
"990","FRMD4B","23150"
"991","HDAC9","9734"
"992","RPL3P11","100131893"
"993","ATP5PDP3","138864"
"994","PTCHD4","442213"
"995","UNC93B4","643384"
"996","TRIP6","7205"
"997","LINGO2","158038"
"998","PGPEP1","54858"
"999","TMEM94","9772"
"1000","RPL21P119","653737"
"1001","LINC02177","101927009"
"1002","LINC01924","284294"
"1003","LINC01916","107985128"
"1004","SMARCC1","6599"
"1005","FANCD2OS","115795"
